sex;age;race;marital-status;education;native-country;workclass;occupation;salary-class
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
Female;*;White;Spouse not present;*;North America;Government;*;<=50K
